"","Date","Corn_Cal_Spread","Corn_Cal_Spread_Perc","Soy_Cal_Spread","Soy_Cal_Spread_Perc"
"349",2001-05-21,-7.75,-0.0399484536082474,5.25,0.011844331641286
"350",2001-05-22,-7.75,-0.0405228758169935,5.25,0.011830985915493
"351",2001-05-23,-7.75,-0.0403120936280884,6,0.0134680134680135
"352",2001-05-24,-8,-0.0412903225806452,7,0.0155642023346304
"353",2001-05-25,-8.25,-0.0426908150064683,9,0.02
"354",2001-05-29,-8,-0.0422721268163804,4.75,0.0108138873079112
"355",2001-05-30,-8.75,-0.0462351387054161,4.5,0.0102389078498294
"356",2001-06-01,-8,-0.040251572327044,5.5,0.0120879120879121
"357",2001-06-04,-8,-0.0408684546615581,5.25,0.0115894039735099
"358",2001-06-05,-7.75,-0.0396419437340153,6.25,0.0137892995035852
